Export:,Graph,,,
File:,weight-shift1,,,
Units:,N,,,
Graphed Value:,Estimated Load,,,
Frame,Date,Time,Left Insole,Right Insole
188,2026-03-27,09:17:53,451.687536,173.221212
189,2026-03-27,09:17:53,453.306376,156.552395
190,2026-03-27,09:17:53,452.160892,139.139215
191,2026-03-27,09:17:53,454.61805,117.165871
192,2026-03-27,09:17:53,453.479795,95.82488
193,2026-03-27,09:17:53,452.132012,76.22918
194,2026-03-27,09:17:53,448.594428,55.065252
195,2026-03-27,09:17:53,444.214929,45.547443
196,2026-03-27,09:17:53,439.774038,33.229218
197,2026-03-27,09:17:53,434.567048,27.270652
198,2026-03-27,09:17:53,430.628394,23.841493
199,2026-03-27,09:17:53,425.674371,15.003013
200,2026-03-27,09:17:53,422.360841,11.118563
201,2026-03-27,09:17:53,418.834117,9.745454
202,2026-03-27,09:17:53,415.55673,6.923356
203,2026-03-27,09:17:53,412.026409,5.391256
204,2026-03-27,09:17:53,411.339859,5.008231
205,2026-03-27,09:17:53,408.10581,4.426467
206,2026-03-27,09:17:53,407.762535,2.121091
207,2026-03-27,09:17:53,404.738082,1.97294
208,2026-03-27,09:17:53,404.991016,1.97294
209,2026-03-27,09:17:53,404.593543,1.97294
210,2026-03-27,09:17:53,408.680333,1.97294
211,2026-03-27,09:17:53,410.313631,1.97294
212,2026-03-27,09:17:53,412.210688,1.97294
213,2026-03-27,09:17:53,412.322715,0.932268
214,2026-03-27,09:17:53,418.64261,0.932268
215,2026-03-27,09:17:53,419.227993,0.932268
216,2026-03-27,09:17:53,420.26145,0.932268
217,2026-03-27,09:17:53,422.631864,0
218,2026-03-27,09:17:53,423.585806,0
219,2026-03-27,09:17:53,426.440437,0.932268
220,2026-03-27,09:17:53,425.677969,0
221,2026-03-27,09:17:53,424.651774,0
222,2026-03-27,09:17:53,426.238069,0
223,2026-03-27,09:17:53,425.229929,0
224,2026-03-27,09:17:53,426.046561,0
225,2026-03-27,09:17:53,427.455805,0
226,2026-03-27,09:17:53,426.248895,0
227,2026-03-27,09:17:53,425.226298,0
228,2026-03-27,09:17:53,426.162185,0
229,2026-03-27,09:17:53,422.87757,0
230,2026-03-27,09:17:53,420.684206,0
231,2026-03-27,09:17:53,418.13311,0
232,2026-03-27,09:17:53,418.776322,0
233,2026-03-27,09:17:53,413.945119,0
234,2026-03-27,09:17:53,414.021002,0
235,2026-03-27,09:17:53,411.932437,0
236,2026-03-27,09:17:53,411.997495,0
237,2026-03-27,09:17:53,414.389595,0
238,2026-03-27,09:17:53,413.977665,0
239,2026-03-27,09:17:53,414.147487,0
240,2026-03-27,09:17:53,413.522363,0
241,2026-03-27,09:17:53,415.798839,0
242,2026-03-27,09:17:53,417.880176,0
243,2026-03-27,09:17:53,417.453788,0
244,2026-03-27,09:17:53,419.636292,0
245,2026-03-27,09:17:53,421.659834,0
246,2026-03-27,09:17:53,419.419501,0
247,2026-03-27,09:17:53,418.938916,0
248,2026-03-27,09:17:53,419.134055,0
249,2026-03-27,09:17:53,419.470101,0
250,2026-03-27,09:17:53,417.345393,0
251,2026-03-27,09:17:53,416.611873,0
252,2026-03-27,09:17:53,412.001092,0
253,2026-03-27,09:17:53,406.172609,0
254,2026-03-27,09:17:53,403.368579,0
255,2026-03-27,09:17:53,396.766835,0
256,2026-03-27,09:17:53,393.005232,0
257,2026-03-27,09:17:53,385.413404,0
258,2026-03-27,09:17:53,376.509868,0
259,2026-03-27,09:17:53,365.431056,0
260,2026-03-27,09:17:53,357.188787,0
261,2026-03-27,09:17:53,346.680902,0
262,2026-03-27,09:17:53,336.635547,0
263,2026-03-27,09:17:53,324.432938,0
264,2026-03-27,09:17:53,311.756972,0
265,2026-03-27,09:17:53,301.697161,0
266,2026-03-27,09:17:53,291.326585,0
267,2026-03-27,09:17:53,282.036419,0
268,2026-03-27,09:17:53,272.547516,0
269,2026-03-27,09:17:53,265.598867,0.932268
270,2026-03-27,09:17:53,256.315929,6.301844
271,2026-03-27,09:17:53,247.64729,17.41318
272,2026-03-27,09:17:53,239.715784,35.418963
273,2026-03-27,09:17:53,230.29915,49.598111
274,2026-03-27,09:17:53,219.733436,63.415917
275,2026-03-27,09:17:53,210.374632,73.815402
