Export:,Graph,,,
File:,walk,,,
Units:,N/cm²,,,
Graphed Value:,Peak Pressure,,,
Frame,Date,Time,Left Insole,Right Insole
233,2026-03-27,09:20:50,0,7.29336
234,2026-03-27,09:20:50,0,7.533061
235,2026-03-27,09:20:50,0,7.533061
236,2026-03-27,09:20:50,0,7.533061
237,2026-03-27,09:20:50,0,7.775455
238,2026-03-27,09:20:50,0,7.775455
239,2026-03-27,09:20:50,0,8.136352
240,2026-03-27,09:20:50,0,8.629219
241,2026-03-27,09:20:50,0,8.874307
242,2026-03-27,09:20:50,0,9.367174
243,2026-03-27,09:20:50,0,9.614954
244,2026-03-27,09:20:50,0,10.105128
245,2026-03-27,09:20:50,0,10.665327
246,2026-03-27,09:20:50,0,11.292858
247,2026-03-27,09:20:50,0,11.605277
248,2026-03-27,09:20:50,0,12.235501
249,2026-03-27,09:20:50,0,12.545226
250,2026-03-27,09:20:50,0,13.172757
251,2026-03-27,09:20:50,0,14.112706
252,2026-03-27,09:20:50,0,14.737543
253,2026-03-27,09:20:50,0,15.362381
254,2026-03-27,09:20:50,0,15.989911
255,2026-03-27,09:20:50,0,16.617442
256,2026-03-27,09:20:50,0,16.617442
257,2026-03-27,09:20:50,0,16.929861
258,2026-03-27,09:20:50,0,16.929861
259,2026-03-27,09:20:50,0,17.250359
260,2026-03-27,09:20:50,1.001894,16.929861
261,2026-03-27,09:20:50,1.147331,16.929861
262,2026-03-27,09:20:50,1.438203,17.250359
263,2026-03-27,09:20:50,1.438203,16.929861
264,2026-03-27,09:20:50,1.586333,16.929861
265,2026-03-27,09:20:50,1.626732,16.929861
266,2026-03-27,09:20:50,2.057654,16.30233
267,2026-03-27,09:20:50,2.485883,15.677493
268,2026-03-27,09:20:50,2.774062,14.112706
269,2026-03-27,09:20:50,3.202292,12.235501
270,2026-03-27,09:20:50,3.50663,9.860041
271,2026-03-27,09:20:50,3.907927,8.136352
272,2026-03-27,09:20:50,4.284984,6.26184
273,2026-03-27,09:20:50,4.508525,4.128774
274,2026-03-27,09:20:50,4.917901,3.038002
275,2026-03-27,09:20:50,5.507726,2.019948
276,2026-03-27,09:20:50,6.108324,1.432817
277,2026-03-27,09:20:50,6.91361,1.284687
278,2026-03-27,09:20:50,8.044781,1.139251
279,2026-03-27,09:20:50,9.175952,1.139251
280,2026-03-27,09:20:50,9.860041,1.139251
281,2026-03-27,09:20:50,10.309817,1.139251
282,2026-03-27,09:20:50,10.600689,1.139251
283,2026-03-27,09:20:50,10.896948,0.991121
284,2026-03-27,09:20:50,10.896948,0.991121
285,2026-03-27,09:20:50,11.193207,0.991121
286,2026-03-27,09:20:50,11.535252,0.991121
287,2026-03-27,09:20:50,11.788419,0.842992
288,2026-03-27,09:20:50,12.122384,0.842992
289,2026-03-27,09:20:50,12.706822,0.842992
290,2026-03-27,09:20:50,13.000388,0.842992
