Export:,Graph,,,
File:,walk,,,
Units:,N,,,
Graphed Value:,Estimated Load,,,
Frame,Date,Time,Left Insole,Right Insole
308,2026-03-27,09:20:50,401.319754,0
309,2026-03-27,09:20:50,396.203138,0
310,2026-03-27,09:20:50,391.017833,0
311,2026-03-27,09:20:50,387.028613,0
312,2026-03-27,09:20:50,383.30675,0
313,2026-03-27,09:20:50,378.041964,0
314,2026-03-27,09:20:50,375.765488,0
315,2026-03-27,09:20:50,374.005741,0
316,2026-03-27,09:20:50,370.952407,0
317,2026-03-27,09:20:50,373.012058,0
318,2026-03-27,09:20:50,370.233311,0
319,2026-03-27,09:20:50,369.611819,0
320,2026-03-27,09:20:50,368.556676,0
321,2026-03-27,09:20:50,366.869215,0
322,2026-03-27,09:20:50,365.944153,0
323,2026-03-27,09:20:50,364.961297,0
324,2026-03-27,09:20:50,362.692084,0
325,2026-03-27,09:20:50,366.431967,0
326,2026-03-27,09:20:50,366.822245,0
327,2026-03-27,09:20:50,368.101374,0
328,2026-03-27,09:20:50,368.419366,0
329,2026-03-27,09:20:50,372.665152,0
330,2026-03-27,09:20:50,374.464674,0
331,2026-03-27,09:20:50,378.627348,0
332,2026-03-27,09:20:50,384.293237,0
333,2026-03-27,09:20:50,387.339342,0
334,2026-03-27,09:20:50,390.175918,0
335,2026-03-27,09:20:50,392.318682,0
336,2026-03-27,09:20:50,394.103713,0
337,2026-03-27,09:20:50,396.546413,0
338,2026-03-27,09:20:50,395.780348,0
339,2026-03-27,09:20:50,396.969169,0
340,2026-03-27,09:20:50,397.626839,0
341,2026-03-27,09:20:50,397.60875,0
342,2026-03-27,09:20:50,400.029765,0
343,2026-03-27,09:20:50,399.733459,0
344,2026-03-27,09:20:50,398.942111,0
345,2026-03-27,09:20:50,398.99994,0
346,2026-03-27,09:20:50,401.402866,0
347,2026-03-27,09:20:50,403.664885,0
348,2026-03-27,09:20:50,408.15641,0
349,2026-03-27,09:20:50,415.253196,2.511343
350,2026-03-27,09:20:50,417.789835,23.115192
351,2026-03-27,09:20:50,423.069077,42.598874
352,2026-03-27,09:20:50,427.408836,52.358783
353,2026-03-27,09:20:50,429.703366,59.947013
354,2026-03-27,09:20:50,431.567878,68.749357
355,2026-03-27,09:20:50,433.869671,82.408166
356,2026-03-27,09:20:50,435.80647,94.104882
357,2026-03-27,09:20:50,434.097288,103.478152
358,2026-03-27,09:20:51,436.879667,110.036548
359,2026-03-27,09:20:51,433.927466,118.994274
360,2026-03-27,09:20:51,431.351087,130.517544
361,2026-03-27,09:20:51,432.561594,154.066356
362,2026-03-27,09:20:51,433.04218,198.974214
363,2026-03-27,09:20:51,435.354799,246.107964
364,2026-03-27,09:20:51,434.715218,277.512382
365,2026-03-27,09:20:51,439.896891,296.996072
366,2026-03-27,09:20:51,440.059484,307.344962
367,2026-03-27,09:20:51,441.143507,317.220494
368,2026-03-27,09:20:51,443.275445,335.775544
369,2026-03-27,09:20:51,444.341413,354.251078
370,2026-03-27,09:20:51,448.894365,368.151974
