File_Type:,Analog R/C ASCII,Generation#:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Board_Type:,NI USB-6225,Polarity:,Bipolar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial_Name:,force testing,Trial#:,1,Duration(Sec.):,9.999583,#Channels:,30,,,,,,,,,,,,,,,,,,,,,,,
BitDepth:,16,PreciseRate:,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,F2X,F2Y,F2Z,M2X,M2Y,M2Z,F1X,F1Y,F1Z,M1X,M1Y,M1Z,LMG,RMG,LRF,LTA,RTA,RRF,LVL,RVL,LMH,RMH,Lspare,Rspare,F3X,F3Y,F3Z,M3X,M3Y,M3Z
Rate,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
Range,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,250,250,250,250,250,250,250,250,250,250,250,250,10000,10000,10000,10000,10000,10000
0.016667,92,-3146,6985,2907,4104,801,-108,3260,5316,-3936,4378,-1075,-1699,2998,1513,-1691,1385,466,-78,470,2832,1619,700,2045,-7,-22,-5,-20,26,-37
0.017083,93,-3136,6995,2911,4102,802,-110,3265,5322,-3936,4381,-1055,-1674,2938,1538,-1674,1372,436,-69,453,2781,1526,623,2011,0,-21,-11,-11,15,-30
0.0175,86,-3140,6996,2903,4103,799,-107,3270,5318,-3950,4374,-1066,-1572,3019,1534,-1704,1402,393,-40,504,2824,1598,687,2049,-13,-24,-9,-20,12,-30
0.017917,93,-3134,6996,2903,4105,806,-107,3275,5318,-3940,4371,-1065,-1623,3049,1504,-1670,1449,411,10,521,2828,1628,704,2066,-9,-9,-8,-19,19,-36
0.018333,53,-3147,6996,2880,4096,804,-95,3266,5314,-3949,4364,-1066,-1623,3104,1530,-1636,1440,474,-31,504,2883,1568,662,2019,-12,-7,-6,-21,18,-36
0.01875,43,-3161,6995,2867,4085,808,-93,3267,5313,-3957,4363,-1062,-1610,3032,1487,-1738,1415,419,-74,483,2845,1555,628,2002,-15,-1,-2,-17,17,-31
0.019167,58,-3161,6998,2870,4090,809,-102,3261,5314,-3957,4364,-1060,-1580,2998,1479,-1699,1364,411,-108,411,2785,1594,568,2083,-21,-1,-8,-7,21,-40
0.019583,50,-3154,6990,2869,4090,807,-102,3257,5315,-3951,4366,-1063,-1572,2973,1500,-1712,1487,470,-10,538,2900,1606,657,2015,-14,-3,-7,-11,15,-33
0.02,50,-3167,6998,2874,4091,806,-105,3266,5323,-3952,4370,-1066,-1618,3045,1500,-1687,1436,402,-48,530,2849,1653,700,2058,-25,-8,-9,-14,20,-37
0.020417,59,-3162,6994,2867,4096,805,-95,3266,5308,-3946,4363,-1060,-1601,3024,1474,-1687,1449,415,10,496,2930,1568,674,2070,-25,-6,-14,-19,18,-31
0.020833,55,-3166,6990,2872,4090,813,-100,3263,5312,-3943,4363,-1062,-1665,3007,1504,-1687,1428,474,-23,538,2824,1606,602,1977,-24,-17,-12,-20,20,-25
0.02125,46,-3151,7007,2873,4097,803,-103,3272,5308,-3942,4361,-1059,-1618,3024,1483,-1742,1351,419,-44,466,2853,1606,576,2062,-25,-17,-5,-24,26,-41
0.021667,67,-3147,7002,2883,4111,792,-104,3265,5305,-3950,4362,-1057,-1631,2981,1517,-1653,1428,406,-18,487,2887,1623,683,2049,-21,-7,-26,-20,24,-34
0.022083,69,-3154,6997,2889,4098,807,-91,3265,5299,-3943,4363,-1054,-1567,3109,1513,-1601,1453,411,40,513,2938,1687,704,2070,-14,3,-14,-21,20,-51
0.0225,63,-3155,7008,2888,4092,797,-95,3260,5310,-3931,4360,-1048,-1601,3096,1555,-1563,1457,487,-14,564,2934,1585,738,2070,-15,-7,-9,-14,17,-23
0.022917,79,-3157,7002,2891,4110,802,-85,3264,5312,-3943,4363,-1064,-1627,3100,1602,-1627,1509,466,-18,589,2926,1670,721,2113,-8,-2,-14,-30,14,-31
0.023333,74,-3154,7001,2893,4109,805,-96,3267,5305,-3949,4362,-1054,-1606,3041,1594,-1572,1466,470,27,559,2896,1645,653,2104,-22,0,-13,-9,24,-26
0.02375,68,-3163,6995,2888,4105,801,-93,3265,5305,-3943,4355,-1061,-1623,3041,1555,-1644,1479,487,66,551,2858,1615,687,2053,-16,0,-15,-18,16,-23
0.024167,79,-3168,7010,2889,4106,803,-92,3267,5304,-3951,4351,-1060,-1584,3036,1538,-1623,1509,393,-44,483,2836,1683,725,2058,-16,-7,18,-23,27,-23
0.024583,93,-3159,7008,2905,4114,810,-92,3263,5313,-3939,4358,-1048,-1550,3019,1509,-1670,1513,470,6,521,2917,1619,674,2049,-16,-8,-5,-22,21,-30
0.025,80,-3142,7006,2911,4108,806,-92,3254,5302,-3933,4361,-1046,-1618,3019,1521,-1691,1440,483,-35,513,2870,1653,717,2113,-22,-13,-15,-23,14,-26
0.025417,83,-3149,7005,2905,4107,799,-73,3259,5304,-3934,4351,-1057,-1644,2951,1543,-1674,1436,462,-52,491,2943,1662,683,2062,-22,-8,-11,-18,10,-34
0.025833,80,-3151,7006,2917,4107,808,-83,3266,5301,-3935,4350,-1041,-1618,2985,1513,-1657,1453,419,-1,372,2853,1602,708,2117,-22,-7,-9,-17,18,-36
0.02625,83,-3156,7003,2893,4103,799,-100,3252,5308,-3940,4341,-1048,-1563,3096,1457,-1648,1389,402,-10,568,2858,1636,713,2096,-20,-13,-12,-17,14,-31
0.026667,47,-3178,7012,2878,4094,816,-95,3259,5307,-3940,4344,-1060,-1614,3087,1589,-1593,1496,474,27,525,2934,1611,713,2083,-15,-2,-12,-14,16,-40
0.027083,49,-3189,7012,2877,4109,815,-92,3257,5311,-3934,4349,-1049,-1580,3138,1606,-1648,1491,483,-48,568,2968,1640,764,2070,-14,-4,-16,-22,16,-37
0.0275,57,-3187,7013,2879,4102,809,-83,3258,5310,-3935,4350,-1041,-1559,3117,1585,-1601,1513,470,-6,542,2909,1653,628,1998,-11,-5,-7,-11,8,-25
0.027917,54,-3179,7009,2882,4096,814,-82,3258,5312,-3940,4337,-1046,-1546,3041,1538,-1661,1360,355,-40,470,2883,1623,628,2036,-11,-9,-15,-8,14,-29
0.028333,50,-3168,7010,2878,4107,802,-81,3270,5299,-3931,4337,-1049,-1674,2985,1364,-1708,1398,385,23,508,2807,1611,666,2023,-13,-4,-9,-19,21,-46
0.02875,43,-3179,7014,2874,4100,814,-87,3268,5297,-3942,4344,-1048,-1606,3036,1436,-1670,1470,453,-27,538,2853,1577,708,2075,-17,-3,-1,-24,25,-37
0.029167,47,-3178,7016,2877,4103,814,-82,3267,5304,-3948,4346,-1053,-1563,3066,1568,-1674,1479,508,10,534,2968,1657,772,2079,-18,-12,-14,-20,24,-28
0.029583,43,-3184,7016,2880,4091,813,-81,3261,5299,-3936,4340,-1045,-1491,3134,1657,-1521,1496,508,57,542,2951,1666,708,2172,-15,-4,-9,-14,3,-37
0.03,67,-3174,7011,2897,4125,815,-83,3257,5298,-3921,4341,-1052,-1512,3100,1640,-1576,1521,555,74,538,3007,1743,730,2092,-3,-4,-13,-26,16,-30
0.030417,69,-3174,7017,2896,4116,803,-82,3258,5300,-3929,4339,-1044,-1550,3079,1581,-1597,1534,542,-23,547,2802,1619,679,2032,-5,-6,-4,-17,19,-40
0.030833,81,-3178,7017,2899,4109,819,-76,3255,5294,-3922,4331,-1045,-1546,3096,1509,-1648,1385,436,-6,508,2832,1636,679,2032,-20,3,-14,-14,9,-26
0.03125,71,-3176,7011,2895,4107,810,-74,3258,5302,-3929,4337,-1040,-1665,3011,1585,-1695,1440,453,-61,525,2875,1611,662,2075,-11,-11,-7,-6,16,-37
0.031667,76,-3186,7022,2895,4104,799,-84,3260,5297,-3933,4338,-1041,-1572,3066,1611,-1606,1479,491,53,568,2973,1709,700,2117,-13,0,1,1,13,-36
0.032083,59,-3174,7025,2896,4109,816,-73,3261,5303,-3933,4333,-1045,-1516,3104,1611,-1576,1389,457,62,470,2875,1598,696,2087,-17,-9,-3,-15,14,-31
0.0325,66,-3170,7014,2897,4118,812,-81,3258,5293,-3927,4333,-1046,-1529,3121,1581,-1589,1449,445,-23,606,2930,1687,734,2036,-17,5,-17,-11,19,-21
0.032917,71,-3157,7016,2907,4129,815,-87,3264,5288,-3922,4329,-1042,-1538,3092,1517,-1589,1513,483,79,585,2947,1615,708,2032,-25,0,-14,-21,22,-34
0.033333,74,-3172,7024,2911,4122,817,-81,3259,5288,-3925,4332,-1038,-1525,3066,1568,-1674,1483,466,-61,555,2934,1594,734,2045,-25,-16,-3,-23,13,-29
0.03375,78,-3186,7024,2912,4119,818,-74,3249,5298,-3930,4333,-1033,-1640,3087,1577,-1636,1474,525,70,559,2973,1662,730,2032,-25,-22,-6,-22,22,-33
0.034167,83,-3179,7031,2913,4120,813,-78,3242,5287,-3911,4327,-1026,-1516,3049,1577,-1580,1479,483,-35,402,2921,1640,683,2113,-18,-14,-4,-19,25,-28
0.034583,85,-3183,7033,2912,4121,815,-69,3247,5293,-3926,4323,-1046,-1584,3036,1517,-1610,1483,466,2,517,2913,1653,717,2058,-8,-2,-5,-21,16,-31
0.035,52,-3198,7030,2882,4109,814,-75,3254,5293,-3931,4323,-1040,-1593,3164,1530,-1580,1496,508,36,555,2879,1666,734,2100,-13,2,-8,-23,7,-26
0.035417,54,-3193,7030,2881,4111,821,-74,3256,5290,-3916,4326,-1035,-1542,3109,1589,-1640,1534,555,10,606,2981,1662,772,2130,-16,0,-11,-14,19,-30
0.035833,41,-3189,7022,2888,4110,813,-70,3258,5293,-3921,4321,-1035,-1644,3096,1602,-1653,1611,513,10,581,2943,1615,640,2040,-20,2,-15,-11,12,-36
0.03625,41,-3190,7031,2872,4114,818,-70,3253,5297,-3916,4316,-1046,-1542,3121,1598,-1631,1419,445,19,504,2887,1666,640,2066,-24,-11,-13,-18,20,-41
0.036667,43,-3191,7041,2888,4109,816,-71,3267,5291,-3916,4325,-1039,-1636,3011,1577,-1610,1466,453,36,572,2879,1649,653,2023,-20,-7,-4,-16,21,-39
