sample,right_foot,left_foot
475,269.24,287.7
476,269.69,287.61
477,269.6,288.15
478,269.69,287.88
479,269.6,288.29
480,269.56,287.74
481,269.33,288.06
482,269.42,287.83
483,269.42,288.56
484,269.47,288.15
485,269.51,287.88
486,269.51,288.33
487,269.37,288.69
488,269.51,288.01
489,269.47,288.1
490,269.42,288.47
491,269.6,288.46
492,269.42,288.6
493,269.47,288.24
494,269.83,288.29
495,269.78,288.2
496,269.87,288.29
497,269.55,288.1
498,269.74,288.24
499,269.6,287.84
500,269.69,288.11
501,269.83,288.29
502,269.78,288.06
503,269.6,288.24
504,269.6,287.56
505,269.69,288.15
506,269.55,288.24
507,269.42,288.15
508,269.83,288.33
509,269.47,288.01
510,269.51,287.79
511,269.69,288.51
512,269.6,288.33
513,269.37,288.33
514,269.28,288.2
515,269.55,287.93
516,269.51,288.69
517,269.74,288.33
518,269.74,288.6
519,270.06,288.52
520,269.6,288.47
521,269.78,288.34
522,269.78,288.38
523,269.96,288.47
524,269.73,288.24
525,269.78,288.47
526,269.51,288.24
527,269.19,288.42
528,269.38,288.6
529,269.42,288.47
530,269.6,288.38
531,269.15,288.24
532,269.37,288.65
533,269.51,288.79
534,269.37,288.61
535,269.73,288.65
536,269.96,288.6
537,270.15,288.51
538,269.87,288.83
539,269.42,288.52
540,269.87,288.65
541,269.87,288.83
542,269.73,288.57
543,269.32,288.65
544,269.55,288.47
545,269.73,288.38
546,270.05,288.79
547,270.05,288.56
548,269.47,288.88
549,269.69,288.65
550,269.6,288.51
551,269.92,288.61
552,269.5,288.61
553,269.73,288.7
554,269.74,288.88
555,269.51,288.7
556,269.83,288.52
557,269.33,288.61
558,269.74,288.88
559,269.87,288.52
560,269.46,288.7
561,269.51,288.7
562,269.6,288.52
563,269.38,288.52
564,269.69,288.43
565,269.83,288.24
566,269.74,288.56
567,269.52,288.83
568,269.56,288.79
569,269.19,288.47
570,269.6,288.51
571,269.87,288.56
572,269.73,289.01
573,269.6,288.65
574,269.42,289.01
575,269.69,288.79
576,269.56,288.88
577,269.96,288.78
578,269.69,288.61
579,269.46,288.38
580,269.37,288.56
581,269.78,288.83
582,269.47,288.92
583,269.69,288.88
584,269.42,288.33
585,269.51,288.6
586,269.51,288.6
587,269.33,288.96
588,269.15,288.29
589,269.42,288.51
590,269.33,288.65
591,269.24,288.38
592,269.56,288.65
593,269.56,288.33
594,269.38,288.96
595,269.19,288.51
596,269.15,288.7
597,269.69,288.88
598,269.33,288.33
599,269.42,288.83
600,269.46,288.34
601,269.06,288.47
602,269.51,288.56
603,269.47,288.43
604,269.01,288.24
605,268.97,288.06
606,269.06,288.24
607,269.1,288.11
608,268.75,288.33
609,268.97,288.06
610,269.2,288.2
611,268.75,288.47
612,269.2,288.38
613,268.84,288.65
614,269.06,288.65
615,269.28,288.38
616,269.01,288.56
617,269.15,288.38
618,268.88,288.29
619,269.06,288.56
620,269.33,288.43
621,269.15,288.33
622,268.52,288.16
623,268.65,288.42
624,268.65,288.42
625,268.83,288.65
626,268.96,288.42
627,269.06,288.56
628,268.97,288.51
629,268.97,288.2
630,268.88,288.33
631,269.15,288.47
632,269.02,288.65
633,268.74,288.38
634,268.83,288.88
635,268.7,288.83
636,268.52,288.52
637,268.34,288.52
638,269.15,288.43
639,268.79,288.24
640,268.7,288.84
641,268.7,287.89
642,268.42,288.29
643,268.29,288.61
644,268.33,288.56
645,268.74,288.92
646,268.7,288.65
647,268.74,288.33
648,268.66,288.47
649,268.56,288.52
650,268.56,288.61
651,268.65,288.29
652,268.97,289.28
653,268.38,288.65
654,268.43,288.34
655,268.7,288.56
656,268.34,289.01
657,268.07,288.88
658,268.57,288.88
659,268.66,288.79
660,268.52,288.79
661,268.2,288.88
662,268.56,288.47
663,268.02,289.2
664,268.7,288.88
665,268.52,288.97
666,268.56,289.06
667,268.29,288.79
668,268.61,288.52
669,267.93,288.52
670,268.25,289.01
671,267.8,289.1
672,268.02,289.06
673,268.11,288.88
674,268.47,289.24
675,267.97,288.65
676,268.02,288.65
677,267.93,289.11
678,268.06,289.74
679,268.29,289.2
680,268.2,289.24
681,268.34,289.34
682,268.61,289.47
683,268.06,289.42
684,267.98,289.47
685,268.2,288.88
686,268.2,288.97
687,267.66,289.11
688,267.84,289.15
689,267.7,289.11
690,267.98,289.06
691,268.06,289.33
692,267.84,289.2
693,267.93,289.29
694,267.79,289.25
695,268.06,289.06
696,267.93,289.38
697,267.93,289.2
698,267.8,289.25
699,267.93,289.11
700,267.97,289.29
701,267.43,289.47
702,267.61,289.56
703,267.93,289.38
704,267.52,289.38
705,267.66,289.33
706,267.75,289.74
707,267.88,289.83
708,267.88,289.65
709,267.65,289.29
710,267.75,289.42
711,267.75,289.88
712,267.52,289.61
713,267.66,289.43
714,267.97,289.47
715,267.75,289.74
716,267.52,289.47
717,267.29,289.47
718,267.7,289.47
719,267.29,289.74
720,267.48,289.61
721,267.34,289.48
722,267.34,289.66
723,267.84,289.97
724,267.43,290.1
725,267.43,289.92
726,267.11,289.92
727,267.52,289.88
728,267.7,290.24
729,267.75,290.24
730,267.7,290.1
731,267.25,289.61
732,267.43,289.88
733,267.47,289.88
734,267.16,289.83
735,267.51,290.06
736,267.43,290.15
737,267.25,289.88
738,267.2,289.88
739,267.34,289.93
740,267.75,290.06
741,267.57,289.79
742,267.84,290.42
743,267.56,290.15
744,267.52,289.83
745,267.29,290.42
746,267.24,290.01
747,267.29,290.1
748,267.74,290.56
749,267.7,289.74
750,267.52,290.06
751,267.48,289.79
752,267.7,290.01
753,267.33,289.92
754,267.56,289.83
755,267.29,290.42
756,267.34,289.93
757,267.52,289.92
758,267.52,289.88
759,267.7,290.51
760,267.34,290.47
761,267.34,289.93
762,267.2,289.83
763,267.61,289.88
764,267.52,290.42
765,267.25,290.1
766,267.15,290.06
767,267.7,290.15
768,267.52,290.33
769,267.65,290.24
770,267.15,290.01
771,267.29,290.24
772,267.24,290.01
773,267.2,290.15
774,267.02,290.42
775,266.84,290.1
776,267.24,290.06
777,267.43,289.92
778,267.47,290.19
779,267.92,289.93
780,267.33,290.01
781,267.29,290.2
782,267.43,290.24
783,266.93,290.06
784,267.16,289.83
785,267.24,289.97
786,267.02,289.74
787,267.33,289.88
788,267.24,290.33
789,267.42,290.6
790,267.29,290.51
791,267.65,290.01
792,267.61,289.97
793,267.79,290.56
794,267.2,290.69
