sample,left_foot,right_foot
679,283.79,45.46
680,283.67,47.91
681,276.88,49.41
682,273.97,51.42
683,268.38,57.58
684,266.35,61.96
685,261.71,64.0
686,258.03,69.84
687,252.93,74.02
688,252.59,76.45
689,249.19,80.19
690,244.82,85.28
691,243.36,91.07
692,239.22,96.53
693,235.07,100.92
694,230.74,106.7
695,223.3,112.36
696,218.37,119.86
697,210.91,124.32
698,206.09,130.43
699,197.89,134.94
700,194.24,140.54
701,190.12,146.51
702,184.48,148.27
703,181.89,153.71
704,176.13,157.39
705,171.52,162.07
706,168.42,168.59
707,163.11,169.7
708,155.32,175.48
709,147.4,179.66
710,143.86,184.01
711,138.93,189.96
712,134.32,194.88
713,130.03,200.9
714,124.78,204.78
715,123.18,211.25
716,116.78,216.81
717,116.63,222.47
718,113.06,227.96
719,109.68,232.38
720,110.44,236.09
721,104.03,238.87
722,102.1,241.62
723,98.63,246.46
724,93.74,249.64
725,90.39,256.53
726,85.99,264.07
727,81.6,269.35
728,77.91,273.73
729,73.92,278.9
730,74.42,286.09
731,71.34,290.95
732,69.14,295.47
733,69.86,300.91
734,70.22,304.46
735,69.67,307.42
736,68.24,310.49
737,64.53,314.02
738,61.38,316.01
739,54.16,318.38
740,52.69,319.23
741,48.68,324.66
742,46.15,327.29
743,44.46,330.07
744,43.33,333.68
745,41.41,336.02
746,40.84,339.66
747,40.66,342.35
748,39.16,343.76
749,37.36,343.55
750,38.05,347.96
751,36.39,348.71
752,33.32,350.58
753,31.66,351.11
754,31.32,353.46
755,30.59,355.73
756,29.47,356.29
757,27.68,359.97
758,27.67,360.56
759,26.44,364.29
760,26.06,366.5
761,25.7,366.87
762,24.78,368.25
763,24.19,369.55
764,24.38,375.63
765,23.21,376.73
766,22.4,376.56
767,22.82,377.3
768,21.66,379.53
769,21.3,381.85
770,20.77,382.93
771,20.21,383.3
772,18.78,384.64
773,18.97,384.41
774,17.59,385.08
775,15.53,384.24
776,14.22,386.88
777,12.33,389.59
778,11.98,388.34
779,10.93,392.31
780,10.89,392.53
781,10.74,394.26
782,9.92,396.09
783,10.74,398.38
784,9.35,398.62
785,9.8,402.45
786,8.35,404.59
787,7.6,404.8
788,7.6,408.1
789,7.4,408.97
790,7.4,409.46
791,7.03,410.69
792,7.4,410.87
793,7.4,410.51
794,7.4,413.39
795,7.4,413.41
796,7.4,416.42
797,7.4,416.55
798,7.4,416.01
799,6.49,419.12
800,6.49,420.18
801,6.29,419.36
802,7.28,421.99
803,6.29,423.69
804,6.29,427.27
805,7.48,425.16
806,6.49,428.71
807,8.41,427.56
808,8.41,425.33
809,9.47,425.93
810,9.47,425.36
811,11.41,425.89
812,9.47,427.08
813,10.47,427.12
814,11.6,430.02
815,8.48,427.98
816,8.41,430.72
817,8.21,429.83
818,8.21,431.55
819,8.36,431.15
820,5.34,431.07
